device,vendor,product,base_platform,advisory_count,cve_count,oss_cve,vendor_cve,oss_components
2n-access-commander-update-a,2N,Access Commander (Update A),vendor-firmware,1,4,0,4,
360-systems-image-server-2000-series-remote-root-access-update-a,360,Systems Image Server 2000 Series Remote Root Access (Update ,vendor-firmware,1,1,0,1,
3s-codesys-gateway-null-pointer-exception-vulnerability,3S,CODESYS Gateway Null Pointer Exception Vulnerability,vendor-firmware,1,1,1,0,codesys_rt
3s-codesys-gateway-use-after-free,3S,CODESYS Gateway Use After Free,vendor-firmware,1,1,1,0,codesys_rt
3s-codesys-gateway-server-vulnerabilities-update-a,3S,CODESYS Gateway-Server Vulnerabilities (Update A),vendor-firmware,1,5,5,0,codesys_rt
3s-codesys-runtime-toolkit-null-pointer-dereference-vulnerability,3S,CODESYS Runtime Toolkit Null Pointer Dereference Vulnerabili,vendor-firmware,1,1,1,0,codesys_rt
3s-codesys-runtime-toolkit-null-pointer-dereference,3S,CoDeSys Runtime Toolkit NULL Pointer Dereference,vendor-firmware,1,1,1,0,codesys_rt
3s-codesys-vulnerabilities,3S,CoDeSys Vulnerabilities,vendor-firmware,1,3,3,0,codesys_rt
3s-smart-software-solutions-gmbh-codesys-control-v3-products,3S-Smart,Software Solutions GmbH CODESYS Control V3 Products,vendor-firmware,1,1,1,0,codesys_rt
3s-smart-software-solutions-gmbh-codesys-v3,3S-Smart,Software Solutions GmbH CODESYS V3,vendor-firmware,1,2,2,0,codesys_rt
3s-smart-software-solutions-gmbh-codesys-v3-products,3S-Smart,Software Solutions GmbH CODESYS V3 Products,vendor-firmware,1,2,2,0,codesys_rt
3s-smart-software-solutions-3s-codesys-update-a,3S-Smart Software Solutions,3S CoDeSys (Update A),vendor-firmware,1,2,2,0,codesys_rt
3s-smart-software-solutions-gmbh-codesys-control-v3-opc-ua-server,3S-Smart Software Solutions GmbH,CODESYS Control V3 OPC UA Server,vendor-firmware,1,1,1,0,codesys_rt
3s-smart-software-solutions-gmbh-codesys-control-v3-online-user-management,3S-Smart Software Solutions GmbH,CODESYS Control V3 Online User Management,vendor-firmware,1,1,1,0,codesys_rt
3s-smart-software-solutions-gmbh-codesys-v3-update-a,3S-Smart Software Solutions GmbH,CODESYS V3 (Update A),vendor-firmware,1,1,1,0,codesys_rt
3s-smart-software-solutions-gmbh-codesys-v3-library-manager-update-a,3S-Smart Software Solutions GmbH,CODESYS V3 Library Manager (Update A),vendor-firmware,1,1,1,0,codesys_rt
3s-smart-software-solutions-gmbh-codesys-v3-products-containing-a-codesys-commun,3S-Smart Software Solutions GmbH,CODESYS V3 Products Containing a CODESYS Communication Serve,vendor-firmware,1,1,1,0,codesys_rt
3s-smart-software-solutions-gmbh-codesys-v3-web-server,3S-Smart Software Solutions GmbH,CODESYS V3 Web Server,vendor-firmware,1,2,2,0,codesys_rt
3s-smart-software-solutions-gmbh-codesys-web-server,3S-Smart Software Solutions GmbH,CODESYS Web Server,vendor-firmware,2,3,3,0,codesys_rt
7-technologies-data-server-denial-of-service,7-Technologies,Data Server Denial of Service,vendor-firmware,1,1,0,1,
7-technologies-igss-buffer-overflow,7-Technologies,IGSS Buffer Overflow,vendor-firmware,1,1,0,1,
7-technologies-interactive-graphical-scada,7-Technologies,Interactive Graphical SCADA,vendor-firmware,1,1,0,1,
7-technologies-termis-dll-hijacking-update-a,7-Technologies,Termis DLL Hijacking (Update A),vendor-firmware,1,1,0,1,
abb-800xa-base-update-a,ABB,800xA Base (Update A),vendor-firmware,1,1,0,1,
abb-ac500-plc-webserver-codesys-vulnerability,ABB,AC500 PLC Webserver CoDeSys Vulnerability,vendor-firmware,1,1,1,0,codesys_rt
abb-ac500-v2,ABB,AC500 V2,vendor-firmware,1,1,0,1,
abb-ac500-v3-multiple-vulnerabilities,ABB,AC500 V3 Multiple Vulnerabilities,vendor-firmware,1,3,3,0,codesys_rt
abb-ac500-v3-stack-buffer-overflow-in-cryptographic-message-syntax,ABB,AC500 V3 Stack Buffer Overflow in Cryptographic Message Synt,vendor-firmware,1,1,0,1,
abb-acs880-drives-containing-codesys-rts,ABB,ACS880 Drives Containing CODESYS RTS,vendor-firmware,1,15,15,0,codesys_rt
abb-aspect-enterprise-nexus-and-matrix-series,ABB,"ASPECT-Enterprise, NEXUS, and MATRIX Series",vendor-firmware,1,1,0,1,
abb-aspect-enterprise-nexus-and-matrix-series-products,ABB,"ASPECT-Enterprise, NEXUS, and MATRIX Series Products",linux,1,26,26,0,linux_kernel
abb-awin-gateways,ABB,AWIN Gateways,vendor-firmware,1,3,0,3,
abb-ability-camera-connect,ABB,Ability Camera Connect,vendor-firmware,1,22,0,22,
abb-ability-edgenius,ABB,Ability Edgenius,linux,1,1,1,0,linux_kernel
abb-ability-optimax,ABB,Ability OPTIMAX,vendor-firmware,1,1,0,1,
abb-ability-symphony-plus,ABB,Ability Symphony Plus,vendor-firmware,1,1,0,1,
abb-ability-symphony-plus-engineering,ABB,Ability Symphony Plus Engineering,vendor-firmware,1,4,0,4,
abb-ability-zenon,ABB,Ability Zenon,vendor-firmware,1,13,0,13,
abb-ability-zenon-remote-transport-vulnerability-update-a,ABB,Ability Zenon Remote Transport Vulnerability (Update A),vendor-firmware,1,1,0,1,
abb-advant-master-online-builder,ABB,Advant Master Online Builder,vendor-firmware,1,1,0,1,
abb-arctic-wireless-gateways,ABB,Arctic Wireless Gateways,linux,1,8,1,7,"glibc,linux_kernel,openssh,openvpn"
abb-asset-suite,ABB,Asset Suite,vendor-firmware,1,1,0,1,
abb-automation-builder-update-a,ABB,Automation Builder (Update A),vendor-firmware,1,2,0,2,
abb-automation-builder-gateway-for-windows,ABB,Automation Builder Gateway for Windows,vendor-firmware,1,1,0,1,
abb-b-amp-r-automation-runtime,ABB,B&amp;R Automation Runtime,vendor-firmware,1,1,0,1,
abb-b-amp-r-automation-studio,ABB,B&amp;R Automation Studio,vendor-firmware,2,26,26,0,sqlite
abb-b-amp-r-pcs,ABB,B&amp;R PCs,vendor-firmware,1,9,0,9,
abb-b-amp-r-pvi,ABB,B&amp;R PVI,vendor-firmware,1,1,0,1,
abb-busch-welcome-2-wire-door-opener-actuator,ABB,Busch-Welcome 2 Wire Door Opener Actuator,vendor-firmware,1,1,0,1,
abb-cms-770,ABB,CMS-770,vendor-firmware,1,1,0,1,
abb-cp400-panel-builder-texteditor-2-0,ABB,CP400 Panel Builder TextEditor 2.0,vendor-firmware,1,1,0,1,
abb-cp635-hmi,ABB,CP635 HMI,vendor-firmware,1,1,0,1,
abb-cp651-hmi,ABB,CP651 HMI,vendor-firmware,1,1,0,1,
abb-central-licensing-system,ABB,Central Licensing System,vendor-firmware,1,5,0,5,
abb-coresense-hm-and-coresense-m10,ABB,CoreSense HM and CoreSense M10,vendor-firmware,1,1,0,1,
abb-cylon-aspect-bms-bas,ABB,Cylon Aspect BMS/BAS,vendor-firmware,1,3,0,3,
abb-datamanagerpro-credential-management-vulnerability,ABB,DataManagerPro Credential Management Vulnerability,vendor-firmware,1,1,0,1,
abb-device-library-wizard,ABB,Device Library Wizard,vendor-firmware,1,1,0,1,
abb-drive-composer,ABB,Drive Composer,vendor-firmware,1,1,0,1,
abb-drive-composer-automation-builder-mint-workbench,ABB,"Drive Composer, Automation Builder, Mint Workbench",vendor-firmware,1,5,0,5,
abb-eibport,ABB,EIBPORT,vendor-firmware,1,1,0,1,
abb-edgenius-management-portal,ABB,Edgenius Management Portal,vendor-firmware,1,1,0,1,
abb-ellipse,ABB,Ellipse,vendor-firmware,1,1,0,1,
abb-flxeon-controllers,ABB,FLXEON Controllers,vendor-firmware,1,3,0,3,
abb-flxeon-controllers,ABB,FLXeon Controllers,vendor-firmware,1,4,0,4,
abb-fox515t,ABB,FOX515T,vendor-firmware,1,1,0,1,
