device,vendor,product,cve,component,tier,arm,cwe,cvss_v3_score,severity,av,av_source,ac,pr,ui,kev,epss,source_advisory,upstream_status,upstream_justification,upstream_source
icsa-10-147-01,Cisco,Network Building Mediator,CVE-2010-0595,mod:icsa-10-147-01:firmware,E,vendor,,10.0,high,N,advisory-mode,,,,False,0.03121,icsa-10-147-01,,,
icsa-10-147-01,Cisco,Network Building Mediator,CVE-2010-0596,mod:icsa-10-147-01:firmware,E,vendor,,9.0,high,N,advisory-mode,,,,False,0.02107,icsa-10-147-01,,,
icsa-10-147-01,Cisco,Network Building Mediator,CVE-2010-0597,mod:icsa-10-147-01:firmware,E,vendor,,9.0,high,N,advisory-mode,,,,False,0.03632,icsa-10-147-01,,,
icsa-10-147-01,Cisco,Network Building Mediator,CVE-2010-0598,mod:icsa-10-147-01:firmware,E,vendor,,9.3,high,N,advisory-mode,,,,False,0.03218,icsa-10-147-01,,,
icsa-10-147-01,Cisco,Network Building Mediator,CVE-2010-0599,mod:icsa-10-147-01:firmware,E,vendor,,9.3,high,N,advisory-mode,,,,False,0.03218,icsa-10-147-01,,,
icsa-10-147-01,Cisco,Network Building Mediator,CVE-2010-0600,mod:icsa-10-147-01:firmware,E,vendor,,10.0,high,N,advisory-mode,,,,False,0.04585,icsa-10-147-01,,,
icsa-11-094-02b,Advantech/Broadwin,WebAccess RPC Vulnerability (Update B),CVE-2011-4041,mod:icsa-11-094-02b:firmware,E,vendor,,10.0,high,N,advisory-mode,,,,False,0.17905,icsa-11-094-02b,,,
icsa-11-096-01,GLEG,Agora SCADA+ Exploit Pack,CVE-2001-1340,mod:icsa-11-096-01:firmware,E,vendor,,5.0,medium,N,nvd,,,,False,0.02099,icsa-11-096-01,,,
icsa-11-096-01,GLEG,Agora SCADA+ Exploit Pack,CVE-2001-1341,mod:icsa-11-096-01:firmware,E,vendor,,5.0,medium,N,nvd,,,,False,0.03202,icsa-11-096-01,,,
icsa-11-096-01,GLEG,Agora SCADA+ Exploit Pack,CVE-2006-6488,mod:icsa-11-096-01:firmware,E,vendor,,7.5,high,N,nvd,,,,False,0.07843,icsa-11-096-01,,,
icsa-11-096-01,GLEG,Agora SCADA+ Exploit Pack,CVE-2008-0175,mod:icsa-11-096-01:firmware,E,vendor,,7.5,high,N,nvd,,,,False,0.15436,icsa-11-096-01,,,
icsa-11-096-01,GLEG,Agora SCADA+ Exploit Pack,CVE-2008-0760,mod:icsa-11-096-01:firmware,E,vendor,,5.0,medium,N,nvd,,,,False,0.03319,icsa-11-096-01,,,
icsa-11-096-01,GLEG,Agora SCADA+ Exploit Pack,CVE-2008-2639,mod:icsa-11-096-01:firmware,E,vendor,,7.6,high,N,nvd,,,,False,0.77717,icsa-11-096-01,,,
icsa-11-096-01,GLEG,Agora SCADA+ Exploit Pack,CVE-2010-2974,mod:icsa-11-096-01:firmware,E,vendor,,9.3,high,N,nvd,,,,False,0.04477,icsa-11-096-01,,,
icsa-11-096-01,GLEG,Agora SCADA+ Exploit Pack,CVE-2010-4142,mod:icsa-11-096-01:firmware,E,vendor,,10.0,high,N,nvd,,,,False,0.63573,icsa-11-096-01,,,
icsa-11-096-01,GLEG,Agora SCADA+ Exploit Pack,CVE-2010-4598,mod:icsa-11-096-01:firmware,E,vendor,,5.0,medium,N,nvd,,,,False,0.26482,icsa-11-096-01,,,
icsa-11-096-01,GLEG,Agora SCADA+ Exploit Pack,CVE-2010-4709,mod:icsa-11-096-01:firmware,E,vendor,,7.6,high,N,nvd,,,,False,0.16195,icsa-11-096-01,,,
icsa-11-096-01,GLEG,Agora SCADA+ Exploit Pack,CVE-2010-4740,mod:icsa-11-096-01:firmware,E,vendor,,9.3,high,N,nvd,,,,False,0.41619,icsa-11-096-01,,,
icsa-11-096-01,GLEG,Agora SCADA+ Exploit Pack,CVE-2010-4741,mod:icsa-11-096-01:firmware,E,vendor,,9.3,high,N,nvd,,,,False,0.27841,icsa-11-096-01,,,
icsa-11-096-01,GLEG,Agora SCADA+ Exploit Pack,CVE-2011-0488,mod:icsa-11-096-01:firmware,E,vendor,,10.0,high,N,nvd,,,,False,0.08598,icsa-11-096-01,,,
