NVD totalResults=381637 | corpus=11336 | resuming idx=0
idx=2000/381637 | corpus cached=2605 with_score=2557
idx=4000/381637 | corpus cached=2605 with_score=2557
idx=6000/381637 | corpus cached=2605 with_score=2557
idx=8000/381637 | corpus cached=2606 with_score=2558
idx=10000/381637 | corpus cached=2607 with_score=2559
idx=12000/381637 | corpus cached=2607 with_score=2559
idx=14000/381637 | corpus cached=2609 with_score=2561
idx=16000/381637 | corpus cached=2609 with_score=2561
idx=18000/381637 | corpus cached=2610 with_score=2562
idx=20000/381637 | corpus cached=2610 with_score=2562
idx=22000/381637 | corpus cached=2611 with_score=2563
idx=24000/381637 | corpus cached=2611 with_score=2563
idx=26000/381637 | corpus cached=2612 with_score=2564
idx=28000/381637 | corpus cached=2613 with_score=2565
idx=30000/381637 | corpus cached=2613 with_score=2565
idx=32000/381637 | corpus cached=2613 with_score=2565
idx=34000/381637 | corpus cached=2613 with_score=2565
idx=36000/381637 | corpus cached=2613 with_score=2565
idx=38000/381637 | corpus cached=2613 with_score=2565
idx=40000/381637 | corpus cached=2614 with_score=2566
idx=42000/381637 | corpus cached=2614 with_score=2566
idx=44000/381637 | corpus cached=2616 with_score=2568
idx=46000/381637 | corpus cached=2616 with_score=2568
idx=48000/381637 | corpus cached=2628 with_score=2580
idx=50000/381637 | corpus cached=2663 with_score=2615
idx=52000/381637 | corpus cached=2715 with_score=2667
idx=54000/381637 | corpus cached=2741 with_score=2693
idx=56000/381637 | corpus cached=2796 with_score=2748
idx=58000/381637 | corpus cached=2847 with_score=2799
idx=60000/381637 | corpus cached=2864 with_score=2816
idx=62000/381637 | corpus cached=2921 with_score=2873
idx=64000/381637 | corpus cached=2952 with_score=2904
idx=66000/381637 | corpus cached=2968 with_score=2920
idx=68000/381637 | corpus cached=2989 with_score=2941
idx=70000/381637 | corpus cached=3067 with_score=3019
idx=72000/381637 | corpus cached=3102 with_score=3054
idx=74000/381637 | corpus cached=3162 with_score=3112
idx=76000/381637 | corpus cached=3228 with_score=3177
idx=78000/381637 | corpus cached=3296 with_score=3245
idx=80000/381637 | corpus cached=3344 with_score=3293
idx=82000/381637 | corpus cached=3375 with_score=3324
idx=84000/381637 | corpus cached=3451 with_score=3400
