corpus 11336 | already-scored 2175 | cached 5 | TODO 9276
[50/9276] cached=55 with_score=50
[100/9276] cached=105 with_score=100
[150/9276] cached=155 with_score=150
[200/9276] cached=205 with_score=200
[250/9276] cached=255 with_score=250
[300/9276] cached=305 with_score=300
[350/9276] cached=355 with_score=346
[400/9276] cached=405 with_score=396
[450/9276] cached=455 with_score=446
[500/9276] cached=505 with_score=496
[550/9276] cached=555 with_score=546
[600/9276] cached=605 with_score=596
[650/9276] cached=655 with_score=646
[700/9276] cached=705 with_score=696
[750/9276] cached=755 with_score=743
[800/9276] cached=805 with_score=789
[850/9276] cached=855 with_score=836
[900/9276] cached=905 with_score=886
[950/9276] cached=955 with_score=936
[1000/9276] cached=1005 with_score=984
[1050/9276] cached=1055 with_score=1032
[1100/9276] cached=1105 with_score=1082
[1150/9276] cached=1155 with_score=1131
[1200/9276] cached=1205 with_score=1179
[1250/9276] cached=1255 with_score=1229
[1300/9276] cached=1305 with_score=1276
[1350/9276] cached=1355 with_score=1325
[1400/9276] cached=1405 with_score=1374
[1450/9276] cached=1455 with_score=1423
[1500/9276] cached=1505 with_score=1473
[1550/9276] cached=1555 with_score=1523
[1600/9276] cached=1605 with_score=1573
[1650/9276] cached=1655 with_score=1617
[1700/9276] cached=1705 with_score=1663
[1750/9276] cached=1755 with_score=1713
[1800/9276] cached=1805 with_score=1763
[1850/9276] cached=1855 with_score=1813
[1900/9276] cached=1905 with_score=1863
[1950/9276] cached=1955 with_score=1913
[2000/9276] cached=2005 with_score=1962
[2050/9276] cached=2055 with_score=2012
[2100/9276] cached=2105 with_score=2062
[2150/9276] cached=2155 with_score=2112
[2200/9276] cached=2205 with_score=2161
[2250/9276] cached=2255 with_score=2211
[2300/9276] cached=2305 with_score=2261
[2350/9276] cached=2355 with_score=2310
[2400/9276] cached=2405 with_score=2360
[2450/9276] cached=2455 with_score=2406
[2500/9276] cached=2505 with_score=2455
[2550/9276] cached=2555 with_score=2502
[2600/9276] cached=2605 with_score=2552
