cve,build_ok,exploit_ok,verify_ok,seconds,outcome
CVE-2018-25032,1,0,0,4585,build-only
CVE-2016-9318,1,1,0,1622,exploit-generated
CVE-2018-20843,1,1,0,905,exploit-generated
CVE-2019-6111,1,0,0,474,build-only
CVE-2020-15778,1,1,0,1063,exploit-generated
CVE-2021-44228,1,0,0,142,build-only
CVE-2022-0547,1,0,0,1580,build-only
CVE-2022-2068,1,0,0,2778,build-only
CVE-2022-22576,1,0,0,1692,build-only
CVE-2022-22965,1,0,0,161,build-only
CVE-2023-27536,1,0,0,2355,build-only
CVE-2023-44487,1,0,0,811,build-only
CVE-2023-46218,1,1,0,1855,exploit-generated
CVE-2023-52425,1,0,0,1953,build-only
CVE-2015-7547,1,0,0,210,build-only
CVE-2016-9840,1,0,0,916,build-only
CVE-2016-9841,1,0,0,954,build-only
CVE-2017-16544,1,0,0,1760,build-only
CVE-2018-15473,1,0,0,874,build-only
CVE-2018-8740,1,0,0,2222,build-only
CVE-2019-13103,1,0,0,974,build-only
CVE-2019-13106,1,0,0,945,build-only
CVE-2020-11655,1,0,0,1007,build-only
CVE-2020-8177,1,1,1,1117,execution-verified
CVE-2021-31571,1,0,0,246,build-only
CVE-2021-3450,1,0,0,1012,build-only
CVE-2021-3711,1,0,0,3085,build-only
CVE-2022-25235,1,0,0,3618,build-only
CVE-2022-25236,1,0,0,821,build-only
CVE-2022-37434,1,0,0,223,build-only
CVE-2022-41742,1,1,0,1398,exploit-generated
CVE-2022-4304,1,0,0,258,build-only
CVE-2023-27533,1,0,0,1153,build-only
CVE-2023-34035,1,0,0,923,build-only
CVE-2023-48795,1,0,0,900,build-only
CVE-2024-2379,1,0,0,1628,build-only
CVE-2024-6387,1,0,0,142,build-only
CVE-2018-14567,1,1,0,1772,exploit-generated
CVE-2018-18065,1,0,0,1596,build-only
CVE-2019-17498,1,0,0,296,build-only
CVE-2019-3855,1,1,0,2415,exploit-generated
CVE-2019-3856,1,0,0,2293,build-only
CVE-2019-3858,1,0,0,167,build-only
CVE-2019-5482,1,0,0,956,build-only
CVE-2020-22218,1,0,0,226,build-only
CVE-2021-20227,1,1,0,3296,exploit-generated
CVE-2021-23840,1,1,0,2229,exploit-generated
CVE-2021-3517,1,0,0,815,build-only
CVE-2021-3712,1,0,0,646,build-only
CVE-2021-42374,1,1,0,930,exploit-generated
CVE-2021-42376,1,0,0,996,build-only
CVE-2021-42378,1,0,0,1568,build-only
CVE-2021-42379,1,0,0,2979,build-only
CVE-2022-0778,1,0,0,526,build-only
CVE-2022-22822,1,0,0,2528,build-only
CVE-2022-25315,1,1,0,237,exploit-generated
CVE-2022-29824,1,1,0,1931,exploit-generated
CVE-2022-40303,1,0,0,1606,build-only
CVE-2023-0215,1,1,0,1050,exploit-generated
CVE-2023-38545,1,1,0,1066,exploit-generated
CVE-2023-45322,1,1,0,1189,exploit-generated
CVE-2021-36369,1,0,0,849,build-only
CVE-2023-0286,1,0,0,161,build-only
CVE-2022-1292,1,0,0,723,build-only
CVE-2023-38408,1,0,0,262,build-only
CVE-2020-10648,1,0,0,956,build-only
CVE-2021-3999,1,0,0,911,build-only
CVE-2022-27774,1,1,0,1956,exploit-generated
CVE-2022-28391,1,0,0,1066,build-only
CVE-2022-32221,1,1,1,998,execution-verified
CVE-2022-46908,1,0,0,836,build-only
CVE-2019-15903,1,1,0,1055,exploit-generated
CVE-2020-1971,1,0,0,1655,build-only
CVE-2022-23303,0,0,0,4,failed
CVE-2023-7256,1,1,0,291,exploit-generated
CVE-2017-14491,0,0,0,4,failed
CVE-2019-5481,1,1,0,1190,exploit-generated
CVE-2020-25681,0,0,0,3,failed
CVE-2021-33574,1,0,0,226,build-only
CVE-2021-3518,1,0,0,315,build-only
CVE-2021-42380,1,0,0,538,build-only
CVE-2021-42386,0,0,0,189,failed
CVE-2022-23852,1,0,0,1518,build-only
CVE-2022-40304,1,0,0,297,build-only
CVE-2023-28484,1,0,0,923,build-only
CVE-2023-46850,1,1,0,2500,exploit-generated
CVE-2023-4911,1,0,0,931,build-only
CVE-2024-2961,1,0,0,218,build-only
CVE-2017-13077,0,0,0,3,failed
CVE-2017-13078,0,0,0,3,failed
CVE-2018-14526,0,0,0,3,failed
CVE-2019-11477,0,0,0,3,failed
CVE-2019-8457,1,0,0,925,build-only
CVE-2020-13434,1,0,0,3035,build-only
CVE-2020-13630,1,0,0,168,build-only
CVE-2020-25684,0,0,0,3,failed
CVE-2021-31572,1,0,0,173,build-only
CVE-2021-33909,0,0,0,10,failed
CVE-2021-35942,1,0,0,165,build-only
CVE-2021-41617,1,1,0,1837,exploit-generated
CVE-2021-42375,1,0,0,1633,build-only
CVE-2022-0847,0,0,0,5,failed
CVE-2023-28450,0,0,0,3,failed
CVE-2023-32233,0,0,0,3,failed
CVE-2023-7104,1,0,0,1055,build-only
CVE-2024-1086,0,0,0,4,failed
