cve_id,severity,cvss_score,cwes,affected_asset_count,published
CVE-2018-25032,high,7.5,CWE-787,234,2022-03-25
CVE-2019-14462,critical,9.1,CWE-125,227,2019-07-31
CVE-2019-14463,critical,9.1,CWE-125,227,2019-07-31
CVE-2022-37434,critical,9.8,CWE-787;CWE-120,223,2022-08-05
CVE-2020-22283,high,7.5,CWE-120,196,2021-07-22
CVE-2023-43615,high,7.5,CWE-120,172,2023-10-07
CVE-2021-3712,high,7.4,CWE-125,136,2021-08-24
CVE-2023-52425,high,7.5,CWE-400,133,2024-02-04
CVE-2020-22284,high,7.5,CWE-120,132,2021-07-22
CVE-2022-4304,medium,5.9,CWE-203,127,2023-02-08
CVE-2022-22822,critical,9.8,CWE-190,126,2022-01-10
CVE-2022-23852,critical,9.8,CWE-190,126,2022-01-24
CVE-2022-25235,critical,9.8,CWE-116,126,2022-02-16
CVE-2021-3711,critical,9.8,CWE-120,117,2021-08-24
CVE-2019-8936,high,7.5,CWE-476,116,2019-05-15
CVE-2020-11868,high,7.5,CWE-346,116,2020-04-17
CVE-2016-9840,high,8.8,,115,2017-05-23
CVE-2016-9841,critical,9.8,,115,2017-05-23
CVE-2023-7104,high,7.3,CWE-122;CWE-119,114,2023-12-29
CVE-2022-25236,critical,9.8,CWE-668,112,2022-02-16
CVE-2022-25315,critical,9.8,CWE-190,112,2022-02-18
CVE-2020-11896,critical,10.0,CWE-119;CWE-787,110,2020-06-17
CVE-2020-11897,critical,10.0,CWE-787,110,2020-06-17
CVE-2020-11901,critical,9.0,CWE-125;CWE-131;CWE-330;CWE-787,110,2020-06-17
CVE-2023-26551,medium,5.6,CWE-787,110,2023-04-11
CVE-2018-20843,high,7.5,CWE-611,108,2019-06-24
CVE-2018-7182,high,7.5,CWE-125,108,2018-03-06
CVE-2018-7183,critical,9.8,CWE-787,108,2018-03-08
CVE-2018-7184,high,7.5,,108,2018-03-06
CVE-2019-15903,high,7.5,CWE-125;CWE-776,108,2019-09-04
CVE-2021-24116,medium,4.9,CWE-203,104,2021-07-14
CVE-2021-3336,high,8.1,CWE-295,104,2021-01-29
CVE-2020-11898,critical,9.1,CWE-119,101,2020-06-17
CVE-2020-11900,high,8.2,CWE-415,101,2020-06-17
CVE-2019-5482,critical,9.8,CWE-122;CWE-787,99,2019-09-16
CVE-2020-10932,medium,4.7,CWE-203;CWE-327,91,2020-04-15
CVE-2020-16150,medium,5.5,CWE-203,91,2020-09-02
CVE-2021-24119,medium,4.9,CWE-203,91,2021-07-14
CVE-2022-42905,critical,9.1,CWE-125,89,2022-11-07
