file,source_sbom,asset_id,vendor,product,device_class,purdue_level,network_exposure,sector,component_count,affected_component_count,cve_total,critical,high,medium,low,unknown,max_cvss
ICS-0001_siemens_simatic-s7-1500-cpu-1511-1-pn_SBOM-CVE.json,ICS-0001_siemens_simatic-s7-1500-cpu-1511-1-pn_SBOM.json,ICS-0001,Siemens AG,SIMATIC S7-1500 CPU 1511-1 PN,plc,1,isolated-cell,wastewater,16,5,13,4,5,3,0,1,9.8
ICS-0002_siemens_simatic-s7-1200-cpu-1212c_SBOM-CVE.json,ICS-0002_siemens_simatic-s7-1200-cpu-1212c_SBOM.json,ICS-0002,Siemens AG,SIMATIC S7-1200 CPU 1212C,plc,1,remote-accessible,manufacturing-process,15,4,8,5,0,3,0,0,9.8
ICS-0003_siemens_simatic-s7-400-cpu-414-3_SBOM-CVE.json,ICS-0003_siemens_simatic-s7-400-cpu-414-3_SBOM.json,ICS-0003,Siemens AG,SIMATIC S7-400 CPU 414-3,plc,1,control-network,manufacturing-process,14,4,9,6,3,0,0,0,10.0
ICS-0004_rockwell_controllogix-controller-1756-l71_SBOM-CVE.json,ICS-0004_rockwell_controllogix-controller-1756-l71_SBOM.json,ICS-0004,Rockwell Automation,ControlLogix Controller 1756-L71,plc,1,isolated-cell,power-distribution,19,6,13,2,9,2,0,0,9.8
ICS-0005_rockwell_compactlogix-controller-5069-l306er_SBOM-CVE.json,ICS-0005_rockwell_compactlogix-controller-5069-l306er_SBOM.json,ICS-0005,Rockwell Automation,CompactLogix Controller 5069-L306ER,plc,1,dmz-routable,oil-and-gas-upstream,18,8,19,6,11,2,0,0,9.8
ICS-0006_rockwell_micrologix-controller-1400-b_SBOM-CVE.json,ICS-0006_rockwell_micrologix-controller-1400-b_SBOM.json,ICS-0006,Rockwell Automation,MicroLogix Controller 1400-B,plc,1,isolated-cell,power-distribution,14,6,15,6,7,1,0,1,9.8
ICS-0007_schneider_modicon-m340-controller-bmxp342020_SBOM-CVE.json,ICS-0007_schneider_modicon-m340-controller-bmxp342020_SBOM.json,ICS-0007,Schneider Electric,Modicon M340 Controller BMXP342020,plc,1,control-network,oil-and-gas-midstream,15,7,18,8,7,3,0,0,9.8
ICS-0008_schneider_modicon-m580-epac-bmep582040_SBOM-CVE.json,ICS-0008_schneider_modicon-m580-epac-bmep582040_SBOM.json,ICS-0008,Schneider Electric,Modicon M580 ePAC BMEP582040,plc,1,dmz-routable,power-transmission,23,8,20,3,10,6,0,1,9.8
ICS-0009_mitsubishi_melsec-iq-r-cpu-r04cpu_SBOM-CVE.json,ICS-0009_mitsubishi_melsec-iq-r-cpu-r04cpu_SBOM.json,ICS-0009,Mitsubishi Electric,MELSEC iQ-R CPU R04CPU,plc,1,dmz-routable,water-treatment,19,8,19,7,6,4,0,2,9.8
ICS-0010_mitsubishi_melsec-q-series-cpu-q03ude_SBOM-CVE.json,ICS-0010_mitsubishi_melsec-q-series-cpu-q03ude_SBOM.json,ICS-0010,Mitsubishi Electric,MELSEC-Q Series CPU Q03UDE,plc,1,remote-accessible,steel-and-metals,14,4,10,2,4,4,0,0,9.1
