file,asset_id,bom_ref,component,version,known_cves
ICS-0001_siemens_simatic-s7-1500-cpu-1511-1-pn_SBOM.json,ICS-0001,pkg:oss:mbedtls,Mbed TLS,2.16.3,CVE-2020-10932;CVE-2020-16150;CVE-2021-24119
ICS-0001_siemens_simatic-s7-1500-cpu-1511-1-pn_SBOM.json,ICS-0001,pkg:oss:zlib,zlib,1.2.8,CVE-2016-9840;CVE-2016-9841;CVE-2018-25032
ICS-0001_siemens_simatic-s7-1500-cpu-1511-1-pn_SBOM.json,ICS-0001,pkg:oss:lwip,lwIP,2.0.3,CVE-2020-22283;CVE-2020-22284;CVE-2020-22288
ICS-0001_siemens_simatic-s7-1500-cpu-1511-1-pn_SBOM.json,ICS-0001,pkg:oss:treck-tcpip,Treck TCP/IP Stack,6.0.1.67,CVE-2020-11898;CVE-2020-11900
ICS-0001_siemens_simatic-s7-1500-cpu-1511-1-pn_SBOM.json,ICS-0001,pkg:oss:expat,Expat,2.4.1,CVE-2022-25236;CVE-2022-25315
ICS-0002_siemens_simatic-s7-1200-cpu-1212c_SBOM.json,ICS-0002,pkg:oss:expat,Expat,2.4.1,CVE-2022-25236;CVE-2022-25315
ICS-0002_siemens_simatic-s7-1200-cpu-1212c_SBOM.json,ICS-0002,pkg:oss:mbedtls,Mbed TLS,2.16.3,CVE-2020-10932;CVE-2020-16150;CVE-2021-24119
ICS-0002_siemens_simatic-s7-1200-cpu-1212c_SBOM.json,ICS-0002,pkg:oss:zlib,zlib,1.2.12,CVE-2022-37434
ICS-0002_siemens_simatic-s7-1200-cpu-1212c_SBOM.json,ICS-0002,pkg:oss:libmodbus,libmodbus,3.0.6,CVE-2019-14462;CVE-2019-14463
ICS-0003_siemens_simatic-s7-400-cpu-414-3_SBOM.json,ICS-0003,pkg:oss:mbedtls,Mbed TLS,2.28.0,CVE-2022-35409;CVE-2023-43615
